Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
State,Alabama,01,<65,Sex,Male,Stroke,0.028,,,,
State,Alabama,01,All,Sex,Male,Stroke,0.0418,,,,
State,Alaska,02,All,All,All,Alcohol Abuse,0.0307,19015.0311,27744.3449,0.2065,2018.4403
State,Alaska,02,65+,Dual Status,Medicare Only,Alcohol Abuse,0.0159,,,,
State,Alaska,02,<65,Dual Status,Medicare Only,Alcohol Abuse,0.0494,,,,
State,Alaska,02,All,Dual Status,Medicare Only,Alcohol Abuse,0.0176,,,,
State,Alaska,02,65+,Dual Status,Medicare and Medicaid,Alcohol Abuse,0.0517,,,,
State,Alaska,02,<65,Dual Status,Medicare and Medicaid,Alcohol Abuse,0.1076,,,,
State,Alaska,02,All,Dual Status,Medicare and Medicaid,Alcohol Abuse,0.0747,,,,
State,Alaska,02,65+,Sex,Female,Alcohol Abuse,0.0134,,,,
State,Alaska,02,<65,Sex,Female,Alcohol Abuse,0.0709,,,,
State,Alaska,02,All,Sex,Female,Alcohol Abuse,0.0204,,,,
State,Alaska,02,65+,Sex,Male,Alcohol Abuse,0.0298,,,,
State,Alaska,02,<65,Sex,Male,Alcohol Abuse,0.1061,,,,
State,Alaska,02,All,Sex,Male,Alcohol Abuse,0.0411,,,,
State,Alaska,02,All,All,All,Alzheimer's Disease/Dementia,0.081,17488.8888,24696.9428,0.1934,1477.5837
State,Alaska,02,65+,Dual Status,Medicare Only,Alzheimer's Disease/Dementia,0.0656,,,,
State,Alaska,02,<65,Dual Status,Medicare Only,Alzheimer's Disease/Dementia,0.0268,,,,
State,Alaska,02,All,Dual Status,Medicare Only,Alzheimer's Disease/Dementia,0.0636,,,,
State,Alaska,02,65+,Dual Status,Medicare and Medicaid,Alzheimer's Disease/Dementia,0.1976,,,,
State,Alaska,02,<65,Dual Status,Medicare and Medicaid,Alzheimer's Disease/Dementia,0.0569,,,,
State,Alaska,02,All,Dual Status,Medicare and Medicaid,Alzheimer's Disease/Dementia,0.1397,,,,
State,Alaska,02,65+,Sex,Female,Alzheimer's Disease/Dementia,0.1008,,,,
State,Alaska,02,<65,Sex,Female,Alzheimer's Disease/Dementia,0.0511,,,,
State,Alaska,02,All,Sex,Female,Alzheimer's Disease/Dementia,0.0948,,,,
State,Alaska,02,65+,Sex,Male,Alzheimer's Disease/Dementia,0.0709,,,,
State,Alaska,02,<65,Sex,Male,Alzheimer's Disease/Dementia,0.0452,,,,
State,Alaska,02,All,Sex,Male,Alzheimer's Disease/Dementia,0.067,,,,
State,Alaska,02,All,All,All,Arthritis,0.2509,13042.4991,17562.9166,0.1499,942.7967
State,Alaska,02,65+,Dual Status,Medicare Only,Arthritis,0.242,,,,
State,Alaska,02,<65,Dual Status,Medicare Only,Arthritis,0.2362,,,,
State,Alaska,02,All,Dual Status,Medicare Only,Arthritis,0.2417,,,,
State,Alaska,02,65+,Dual Status,Medicare and Medicaid,Arthritis,0.3084,,,,
State,Alaska,02,<65,Dual Status,Medicare and Medicaid,Arthritis,0.244,,,,
State,Alaska,02,All,Dual Status,Medicare and Medicaid,Arthritis,0.2819,,,,
State,Alaska,02,65+,Sex,Female,Arthritis,0.295,,,,
State,Alaska,02,<65,Sex,Female,Arthritis,0.3139,,,,
State,Alaska,02,All,Sex,Female,Arthritis,0.2972,,,,
State,Alaska,02,65+,Sex,Male,Arthritis,0.2077,,,,
State,Alaska,02,<65,Sex,Male,Arthritis,0.1817,,,,
State,Alaska,02,All,Sex,Male,Arthritis,0.2038,,,,
State,Alaska,02,All,All,All,Asthma,0.0346,19139.3286,26181.236,0.1972,1793.3856
